hour,occupancy
2016-02-01 00:00:00,23
2016-02-01 01:00:00,21
2016-02-01 02:00:00,19
2016-02-01 03:00:00,17
2016-02-01 04:00:00,18
2016-02-01 05:00:00,53
2016-02-01 06:00:00,214
2016-02-01 07:00:00,846
2016-02-01 08:00:00,1631
2016-02-01 09:00:00,2329
2016-02-01 10:00:00,2532
2016-02-01 11:00:00,2541
2016-02-01 12:00:00,2449
2016-02-01 13:00:00,2477
2016-02-01 14:00:00,2535
2016-02-01 15:00:00,2479
2016-02-01 16:00:00,2202
2016-02-01 17:00:00,1456
2016-02-01 18:00:00,718
2016-02-01 19:00:00,259
2016-02-01 20:00:00,136
2016-02-01 21:00:00,91
2016-02-01 22:00:00,64
2016-02-01 23:00:00,47
2016-02-02 00:00:00,33
2016-02-02 01:00:00,28
2016-02-02 02:00:00,24
2016-02-02 03:00:00,20
2016-02-02 04:00:00,19
2016-02-02 05:00:00,43
2016-02-02 06:00:00,225
2016-02-02 07:00:00,883
2016-02-02 08:00:00,1745
2016-02-02 09:00:00,2390
2016-02-02 10:00:00,2584
2016-02-02 11:00:00,2602
2016-02-02 12:00:00,2506
2016-02-02 13:00:00,2516
2016-02-02 14:00:00,2560
2016-02-02 15:00:00,2498
2016-02-02 16:00:00,2220
2016-02-02 17:00:00,1463
2016-02-02 18:00:00,729
2016-02-02 19:00:00,293
2016-02-02 20:00:00,159
2016-02-02 21:00:00,116
2016-02-02 22:00:00,80
2016-02-02 23:00:00,53
2016-02-03 00:00:00,43
2016-02-03 01:00:00,37
2016-02-03 02:00:00,34
2016-02-03 03:00:00,31
2016-02-03 04:00:00,25
2016-02-03 05:00:00,60
2016-02-03 06:00:00,221
2016-02-03 07:00:00,864
2016-02-03 08:00:00,1689
2016-02-03 09:00:00,2399
2016-02-03 10:00:00,2605
2016-02-03 11:00:00,2650
2016-02-03 12:00:00,2554
2016-02-03 13:00:00,2527
2016-02-03 14:00:00,2596
2016-02-03 15:00:00,2539
2016-02-03 16:00:00,2267
2016-02-03 17:00:00,1529
2016-02-03 18:00:00,777
2016-02-03 19:00:00,326
2016-02-03 20:00:00,187
2016-02-03 21:00:00,142
2016-02-03 22:00:00,97
2016-02-03 23:00:00,75
2016-02-04 00:00:00,61
2016-02-04 01:00:00,51
2016-02-04 02:00:00,50
2016-02-04 03:00:00,45
2016-02-04 04:00:00,42
2016-02-04 05:00:00,65
2016-02-04 06:00:00,214
2016-02-04 07:00:00,842
2016-02-04 08:00:00,1594
2016-02-04 09:00:00,2317
2016-02-04 10:00:00,2552
2016-02-04 11:00:00,2607
2016-02-04 12:00:00,2500
2016-02-04 13:00:00,2518
2016-02-04 14:00:00,2583
2016-02-04 15:00:00,2505
2016-02-04 16:00:00,2203
2016-02-04 17:00:00,1470
2016-02-04 18:00:00,736
2016-02-04 19:00:00,277
2016-02-04 20:00:00,141
2016-02-04 21:00:00,99
2016-02-04 22:00:00,73
2016-02-04 23:00:00,49
2016-02-05 00:00:00,32
2016-02-05 01:00:00,26
2016-02-05 02:00:00,24
2016-02-05 03:00:00,22
2016-02-05 04:00:00,22
2016-02-05 05:00:00,33
2016-02-05 06:00:00,128
2016-02-05 07:00:00,474
2016-02-05 08:00:00,983
2016-02-05 09:00:00,1572
2016-02-05 10:00:00,1798
2016-02-05 11:00:00,1811
2016-02-05 12:00:00,1628
2016-02-05 13:00:00,1531
2016-02-05 14:00:00,1479
2016-02-05 15:00:00,1345
2016-02-05 16:00:00,970
2016-02-05 17:00:00,549
2016-02-05 18:00:00,262
2016-02-05 19:00:00,124
2016-02-05 20:00:00,81
2016-02-05 21:00:00,67
2016-02-05 22:00:00,46
2016-02-05 23:00:00,28
2016-02-06 00:00:00,22
2016-02-06 01:00:00,24
2016-02-06 02:00:00,22
2016-02-06 03:00:00,22
2016-02-06 04:00:00,23
2016-02-06 05:00:00,23
2016-02-06 06:00:00,26
2016-02-06 07:00:00,28
2016-02-06 08:00:00,31
2016-02-06 09:00:00,41
2016-02-06 10:00:00,51
2016-02-06 11:00:00,63
2016-02-06 12:00:00,67
2016-02-06 13:00:00,69
2016-02-06 14:00:00,63
2016-02-06 15:00:00,69
2016-02-06 16:00:00,61
2016-02-06 17:00:00,58
2016-02-06 18:00:00,63
2016-02-06 19:00:00,43
2016-02-06 20:00:00,41
2016-02-06 21:00:00,35
2016-02-06 22:00:00,33
2016-02-06 23:00:00,26
2016-02-07 00:00:00,22
2016-02-07 01:00:00,21
2016-02-07 02:00:00,21
2016-02-07 03:00:00,21
2016-02-07 04:00:00,21
2016-02-07 05:00:00,22
2016-02-07 06:00:00,22
2016-02-07 07:00:00,22
2016-02-07 08:00:00,24
2016-02-07 09:00:00,35
2016-02-07 10:00:00,47
2016-02-07 11:00:00,83
2016-02-07 12:00:00,93
2016-02-07 13:00:00,69
2016-02-07 14:00:00,53
2016-02-07 15:00:00,54
2016-02-07 16:00:00,49
2016-02-07 17:00:00,43
2016-02-07 18:00:00,33
2016-02-07 19:00:00,25
2016-02-07 20:00:00,21
2016-02-07 21:00:00,22
2016-02-07 22:00:00,23
2016-02-07 23:00:00,22
2016-02-08 00:00:00,22
2016-02-08 01:00:00,19
2016-02-08 02:00:00,18
2016-02-08 03:00:00,17
2016-02-08 04:00:00,17
2016-02-08 05:00:00,42
2016-02-08 06:00:00,179
2016-02-08 07:00:00,752
2016-02-08 08:00:00,1551
2016-02-08 09:00:00,2209
2016-02-08 10:00:00,2454
2016-02-08 11:00:00,2487
2016-02-08 12:00:00,2381
2016-02-08 13:00:00,2401
2016-02-08 14:00:00,2442
2016-02-08 15:00:00,2393
2016-02-08 16:00:00,2138
2016-02-08 17:00:00,1414
2016-02-08 18:00:00,689
2016-02-08 19:00:00,266
2016-02-08 20:00:00,135
2016-02-08 21:00:00,93
2016-02-08 22:00:00,68
2016-02-08 23:00:00,46
2016-02-09 00:00:00,48
2016-02-09 01:00:00,35
2016-02-09 02:00:00,32
2016-02-09 03:00:00,26
2016-02-09 04:00:00,27
2016-02-09 05:00:00,44
2016-02-09 06:00:00,206
2016-02-09 07:00:00,835
2016-02-09 08:00:00,1598
2016-02-09 09:00:00,2311
2016-02-09 10:00:00,2556
2016-02-09 11:00:00,2581
2016-02-09 12:00:00,2483
2016-02-09 13:00:00,2501
2016-02-09 14:00:00,2568
2016-02-09 15:00:00,2533
2016-02-09 16:00:00,2245
2016-02-09 17:00:00,1472
2016-02-09 18:00:00,733
2016-02-09 19:00:00,274
2016-02-09 20:00:00,147
2016-02-09 21:00:00,101
2016-02-09 22:00:00,62
2016-02-09 23:00:00,33
2016-02-10 00:00:00,26
2016-02-10 01:00:00,24
2016-02-10 02:00:00,21
2016-02-10 03:00:00,18
2016-02-10 04:00:00,19
2016-02-10 05:00:00,41
2016-02-10 06:00:00,204
2016-02-10 07:00:00,852
2016-02-10 08:00:00,1623
2016-02-10 09:00:00,2307
2016-02-10 10:00:00,2549
2016-02-10 11:00:00,2599
2016-02-10 12:00:00,2466
2016-02-10 13:00:00,2495
2016-02-10 14:00:00,2577
2016-02-10 15:00:00,2528
2016-02-10 16:00:00,2220
2016-02-10 17:00:00,1458
2016-02-10 18:00:00,760
2016-02-10 19:00:00,318
2016-02-10 20:00:00,175
2016-02-10 21:00:00,118
2016-02-10 22:00:00,88
2016-02-10 23:00:00,51
2016-02-11 00:00:00,34
2016-02-11 01:00:00,34
2016-02-11 02:00:00,32
2016-02-11 03:00:00,32
2016-02-11 04:00:00,33
2016-02-11 05:00:00,56
2016-02-11 06:00:00,208
2016-02-11 07:00:00,805
2016-02-11 08:00:00,1573
2016-02-11 09:00:00,2285
2016-02-11 10:00:00,2523
2016-02-11 11:00:00,2553
2016-02-11 12:00:00,2429
2016-02-11 13:00:00,2457
2016-02-11 14:00:00,2491
2016-02-11 15:00:00,2454
2016-02-11 16:00:00,2139
2016-02-11 17:00:00,1386
2016-02-11 18:00:00,676
2016-02-11 19:00:00,289
2016-02-11 20:00:00,160
2016-02-11 21:00:00,119
2016-02-11 22:00:00,81
2016-02-11 23:00:00,53
2016-02-12 00:00:00,49
2016-02-12 01:00:00,42
2016-02-12 02:00:00,40
2016-02-12 03:00:00,40
2016-02-12 04:00:00,40
2016-02-12 05:00:00,50
2016-02-12 06:00:00,131
2016-02-12 07:00:00,498
2016-02-12 08:00:00,1001
2016-02-12 09:00:00,1566
2016-02-12 10:00:00,1784
2016-02-12 11:00:00,1787
2016-02-12 12:00:00,1607
2016-02-12 13:00:00,1471
2016-02-12 14:00:00,1424
2016-02-12 15:00:00,1209
2016-02-12 16:00:00,880
2016-02-12 17:00:00,523
2016-02-12 18:00:00,245
2016-02-12 19:00:00,126
2016-02-12 20:00:00,84
2016-02-12 21:00:00,74
2016-02-12 22:00:00,56
2016-02-12 23:00:00,32
2016-02-13 00:00:00,29
2016-02-13 01:00:00,29
2016-02-13 02:00:00,25
2016-02-13 03:00:00,24
2016-02-13 04:00:00,24
2016-02-13 05:00:00,23
2016-02-13 06:00:00,26
2016-02-13 07:00:00,29
2016-02-13 08:00:00,33
2016-02-13 09:00:00,53
2016-02-13 10:00:00,75
2016-02-13 11:00:00,88
2016-02-13 12:00:00,80
2016-02-13 13:00:00,75
2016-02-13 14:00:00,72
2016-02-13 15:00:00,66
2016-02-13 16:00:00,58
2016-02-13 17:00:00,47
2016-02-13 18:00:00,42
2016-02-13 19:00:00,36
2016-02-13 20:00:00,31
2016-02-13 21:00:00,25
2016-02-13 22:00:00,24
2016-02-13 23:00:00,24
2016-02-14 00:00:00,24
2016-02-14 01:00:00,25
2016-02-14 02:00:00,25
2016-02-14 03:00:00,21
2016-02-14 04:00:00,21
2016-02-14 05:00:00,21
2016-02-14 06:00:00,25
2016-02-14 07:00:00,33
2016-02-14 08:00:00,66
2016-02-14 09:00:00,75
2016-02-14 10:00:00,77
2016-02-14 11:00:00,99
2016-02-14 12:00:00,97
2016-02-14 13:00:00,81
2016-02-14 14:00:00,56
2016-02-14 15:00:00,58
2016-02-14 16:00:00,54
2016-02-14 17:00:00,46
2016-02-14 18:00:00,37
2016-02-14 19:00:00,33
2016-02-14 20:00:00,27
2016-02-14 21:00:00,27
2016-02-14 22:00:00,26
